class_name,class_dates,class_times,class_professor,year,semester
Community Health Sciences (COM HLT) 100 - Introduction to Community Health Sciences Lec 1,TR,3pm-4:50pm,"Tavrow, P.A.",2024,fall
"Community Health Sciences (COM HLT) 132 - Health, Disease, and Health Services in Latin America Lec 1",T,9am-11:50am,"Taub, B.",2024,fall
Community Health Sciences (COM HLT) 160 - Health Communication in Public Health Lec 1,TR,11am-12:15pm,"Massey, P.",2024,fall
Community Health Sciences (COM HLT) 205 - Immigrant Health Lec 1,T,1pm-3:50pm,"Nwankwo, E.",2024,fall
Community Health Sciences (COM HLT) 210 - Community Health Sciences Lec 1,MW,10am-11:50am,"Gee, G.",2024,fall
Community Health Sciences (COM HLT) 212 - Advanced Social Research Methods in Health Lec 1,TR,1pm-2:50pm,"Kuhn, R.",2024,fall
Community Health Sciences (COM HLT) 247 - Population Change and Public Policy Lec 1,W,1pm-3:50pm,"Sudhinaraset, M.",2024,fall
Community Health Sciences (COM HLT) M251 - Nutritional Epidemiology I Lec 1,R,1pm-3:50pm,"Chen, L.",2024,fall
Community Health Sciences (COM HLT) 254 - Intentional Disasters: War and Refugees Lec 1,M,3pm-4:50pm,"Halbert, R.J.",2024,fall
Community Health Sciences (COM HLT) 440 - Public Health and National Security at U.S.-Mexico Border Lec 1,M,1pm-3:50pm,"Stratton, S.J.",2024,fall
"Community Health Sciences (COM HLT) CM470 - Improving Worker Health: Social Movements, Policy Debates, and Public Health Lec 1",M,3pm-5:50pm,"Riley, K.",2024,fall
Community Health Sciences (COM HLT) 484 - Risk Communications Lec 1,R,9am-11:50am,"Garfin, D.R.",2024,fall
Comparative Literature (COM LIT) 1H - Health Humanities Lec 1,T,R,10am-10:50am,2024,fall
Comparative Literature (COM LIT) 2CW - Survey of Literature: Age of Enlightenment to 20th Century Lec 1,MW,10am-10:50am,"Komar, K.L.",2024,fall
Comparative Literature (COM LIT) 2CW - Survey of Literature: Age of Enlightenment to 20th Century Lec 2,TR,3pm-3:50pm,No instructors,2024,fall
Comparative Literature (COM LIT) 100 - Introduction to Literary and Critical Theory Lec 1,M,2pm-4:50pm,"Kanner-Botan, A.",2024,fall
Computer Science (COM SCI) 30 - Principles and Practices of Computing Lec 1,MW,2pm-3:50pm,"Millstein, T.D.",2024,fall
Computer Science (COM SCI) 31 - Introduction to Computer Science I Lec 1,MW,10am-11:50am,"Smallberg, D.A.",2024,fall
Computer Science (COM SCI) 31 - Introduction to Computer Science I Lec 2,MW,4pm-5:50pm,"Smallberg, D.A.",2024,fall
Computer Science (COM SCI) 32 - Introduction to Computer Science II Lec 1,MW,4pm-5:50pm,"Stahl, H.A.",2024,fall
Computer Science (COM SCI) 33 - Introduction to Computer Organization Lec 1,TR,4pm-5:50pm,"Nowatzki, A.J.",2024,fall
Computer Science (COM SCI) 35L - Software Construction Lec 1,MW,4pm-5:50pm,The Staff,2024,fall
Computer Science (COM SCI) M51A - Logic Design of Digital Systems Lec 1,MW,12pm-1:50pm,"Kurtz, K.",2024,fall
Computer Science (COM SCI) 111 - Operating Systems Principles Lec 1,TR,2pm-3:50pm,"Reiher, P.L.",2024,fall
Computer Science (COM SCI) 118 - Computer Network Fundamentals Lec 1,TR,2pm-3:50pm,"Varghese, G.",2024,fall
Computer Science (COM SCI) M119 - Fundamentals of Embedded Networked Systems Lec 1,MW,2pm-3:50pm,"Chen, X.",2024,fall
Computer Science (COM SCI) 130 - Software Engineering Lec 1,MW,6pm-7:50pm,"Elaasar, M.",2024,fall
Computer Science (COM SCI) 131 - Programming Languages Lec 1,MW,2pm-3:50pm,"Nachenberg, C.S.",2024,fall
Computer Science (COM SCI) 134 - Distributed Systems Lec 1,MW,4pm-5:50pm,"Rosario, R.R.",2024,fall
Computer Science (COM SCI) M138 - Computer System Security Lec 1,TR,4pm-5:50pm,"Tian, Y.",2024,fall
Computer Science (COM SCI) M148 - Introduction to Data Science Lec 1,TR,4pm-5:50pm,"Batista, S.",2024,fall
Computer Science (COM SCI) M151B - Computer Systems Architecture Lec 1,TR,12pm-1:50pm,"Sehatbakhsh, N.",2024,fall
Computer Science (COM SCI) 161 - Fundamentals of Artificial Intelligence Lec 1,TR,10am-11:50am,"Van den Broeck, G.",2024,fall
Computer Science (COM SCI) 161 - Fundamentals of Artificial Intelligence Lec 91,TR,10am-11:50am,"Van den Broeck, G.",2024,fall
Computer Science (COM SCI) 163 - Deep Learning for Computer Vision Lec 1,MW,4pm-5:50pm,"Zhou, B.",2024,fall
Computer Science (COM SCI) 174A - Introduction to Computer Graphics Lec 1,TR,6pm-7:50pm,"Law, A.",2024,fall
Computer Science (COM SCI) 180 - Introduction to Algorithms and Complexity Lec 1,MW,8am-9:50am,"Korb, A.L.",2024,fall
Computer Science (COM SCI) 181 - Theory of Computing Lec 1,MW,2pm-3:50pm,"Meka, R.",2024,fall
Computer Science (COM SCI) M184 - Introduction to Computational and Systems Biology Lec 1,F,2pm-3:50pm,TA,2024,fall
Conservation of Cultural Heritage (CLT HTG) M215 - Cultural Materials Science I: Analytical Imaging and Documentation in Conservation of Materials Lec 1,R,9am-10:50am,"Kakoulli, I.",2024,fall
"Conservation of Cultural Heritage (CLT HTG) 260 - Structure, Properties, and Deterioration of Materials: Ceramics, Glass, Glazes Lec 1",M,10am-11:45am,"O'Grady, C.",2024,fall
Design / Media Arts (DESMA) 10 - Design Culture Lec 1,F,9am-11:50am,"Huhtamo, E.I.",2024,fall
Design / Media Arts (DESMA) 101 - Media Arts: Introduction Lec 1,M,2pm-4:50pm,"Huhtamo, E.I.",2024,fall
Digital Humanities (DGT HUM) 101 - Introduction to Digital Humanities Lec 1,TR,9:30am-10:45am,"Kurtz, W.",2024,fall
Digital Humanities (DGT HUM) 120 - Social Media Data Analytics Lec 1,MW,11am-12:15pm,"Sanders, A.",2024,fall
Disability Studies (DIS STD) 101W - Perspectives on Disability Studies Lec 1,T,4pm-5:50pm,"Solone, C.J.",2024,fall
"Disability Studies (DIS STD) M103 - Studies in Disability Literatures: Beauty and Deformity: Aesthetics and Literature of Disability, from Shakespeare to Present Lec 1",TR,2pm-3:50pm,"Deutsch, H.E.",2024,fall
"Disability Studies (DIS STD) M112 - Disability and Musical-Dramatic Arts: Representation, Embodiment, Themes, and Practices Lec 1",MW,9am-10:50am,"Knapp, R.L.",2024,fall
Disability Studies (DIS STD) M115 - Enforcing Normalcy: Deaf and Disability Studies Lec 1,TR,12:30pm-1:45pm,"Lewis, B.",2024,fall
"Disability Studies (DIS STD) 129 - Theory, Policy, and Practice of Special Education: Implications for Educators and Advocates Lec 1",W,12pm-2:50pm,"Solone, C.J.",2024,fall
"Disability Studies (DIS STD) M161 - Sports, Normativity, and Body Lec 1",MW,12pm-1:50pm,No instructors,2024,fall
"Earth, Planetary, and Space Sciences (EPS SCI) 3 - Astrobiology Lec 1",MW,2pm-3:15pm,"Treude, T.I.",2024,fall
"Earth, Planetary, and Space Sciences (EPS SCI) M7 - Perils of Space: Introduction to Space Weather Lec 1",MW,3:30pm-4:45pm,"Varney, R.H.",2024,fall
"Earth, Planetary, and Space Sciences (EPS SCI) 8 - Earthquakes Lec 1",R,T,4pm-5:50pm,2024,fall
"Earth, Planetary, and Space Sciences (EPS SCI) 9 - Solar System and Planets Lec 1",TR,11am-12:15pm,"Young, E.D.",2024,fall
"Earth, Planetary, and Space Sciences (EPS SCI) 15 - Blue Planet: Introduction to Oceanography Lec 1",MWF,1pm-1:50pm,The Staff,2024,fall
"Earth, Planetary, and Space Sciences (EPS SCI) 16 - Major Events in History of Life Lec 1",TR,5pm-6:15pm,"Monarrez, P.",2024,fall
"Earth, Planetary, and Space Sciences (EPS SCI) 61 - Geologic Maps Lec 1",TR,11am-12:15pm,"Coffey, K.",2024,fall
"Earth, Planetary, and Space Sciences (EPS SCI) 103B - Sedimentary Petrology Lec 1",TR,12:30pm-1:45pm,"Coffey, K.",2024,fall
"Earth, Planetary, and Space Sciences (EPS SCI) C106 - Physical Geochemistry Lec 1",MW,9am-10:15am,"Schauble, E.A.",2024,fall
"Earth, Planetary, and Space Sciences (EPS SCI) 150 - Remote Sensing for Earth Sciences Lec 1",M,W,2pm-3:50pm,2024,fall
"Earth, Planetary, and Space Sciences (EPS SCI) 150 - Remote Sensing for Earth Sciences Lec 2",M,W,2pm-3:50pm,2024,fall
"Earth, Planetary, and Space Sciences (EPS SCI) 152 - Physics of Earth Lec 1",M,T,11am-11:50am,2024,fall
"Earth, Planetary, and Space Sciences (EPS SCI) 153 - Oceans and Atmospheres Lec 1",TR,9am-11am,"Aurnou, J.M.",2024,fall
"Earth, Planetary, and Space Sciences (EPS SCI) 154 - Solar Terrestrial Physics Lec 1",MWF,10am-11:15am,"Cao, H.",2024,fall
"Earth, Planetary, and Space Sciences (EPS SCI) M156 - Introduction to Plasma Science and Engineering Lec 1",TR,11am-12:15pm,"Da Costa Alves, E.",2024,fall
"Earth, Planetary, and Space Sciences (EPS SCI) CM173 - Earth Process and Evolutionary History Lec 1",TR,4pm-5:50pm,"Jacobs, D.K.",2024,fall
"Earth, Planetary, and Space Sciences (EPS SCI) 200A - Introduction to Geophysics and Space Physics I: Solid Earth and Planets Lec 1",MW,2:30pm-3:50pm,"Stixrude, L.P.",2024,fall
"Earth, Planetary, and Space Sciences (EPS SCI) 200B - Introduction to Geophysics and Space Physics II: Oceans and Atmospheres Lec 1",TR,9am-11am,"Aurnou, J.M.",2024,fall
"Earth, Planetary, and Space Sciences (EPS SCI) 200E - Planetary Origins and Evolution Lec 1","Schlichting, H.E.","Select Earth, Planetary, and Space Sciences (EPS SCI) 200E - Planetary Origins and Evolution Lec 1","Schlichting, H.E.",2024,fall
"Earth, Planetary, and Space Sciences (EPS SCI) 201 - Classical Mechanics Lec 1",TR,1pm-2:50pm,"Newman, W.I.",2024,fall
"Earth, Planetary, and Space Sciences (EPS SCI) C206 - Physical Geochemistry Lec 1",MW,9am-10:15am,"Schauble, E.A.",2024,fall
"Earth, Planetary, and Space Sciences (EPS SCI) CM273 - Earth Process and Evolutionary History Lec 1",TR,4pm-5:50pm,No instructors,2024,fall
Economics (ECON) 1 - Principles of Economics Lec 1,TR,12:30pm-1:45pm,"Osei Twumasi, O.I.",2024,fall
Economics (ECON) 2 - Principles of Economics Lec 1,MW,12:30pm-1:45pm,"Boswell, K.S.",2024,fall
Economics (ECON) 11 - Microeconomic Theory Lec 1,TR,9:30am-10:45am,"Mazzocco, M.",2024,fall
Economics (ECON) 11 - Microeconomic Theory Lec 2,MW,6pm-7:15pm,"Surro, C.J.",2024,fall
Economics (ECON) 41 - Probability and Statistics for Economists Lec 1,TR,2pm-3:15pm,"Hahn, J.",2024,fall
Economics (ECON) 101 - Microeconomic Theory Lec 1,TR,3:30pm-4:45pm,"Vogel, J.E.",2024,fall
Economics (ECON) 102 - Macroeconomic Theory Lec 1,MW,3:30pm-4:45pm,"Bigio Luks, M.S.",2024,fall
Economics (ECON) 103 - Introduction to Econometrics Lec 1,TR,9:30am-10:45am,"Rojas, R.R.",2024,fall
Economics (ECON) 103L - Econometrics Laboratory Lec 1,F,9am-9:50am,"Rojas, R.R.",2024,fall
Economics (ECON) 104 - Data Science for Economists Lec 1,MW,3:30pm-4:45pm,"Boswell, K.S.",2024,fall
Economics (ECON) 104L - Data Science for Economists Laboratory Lec 1,W,5pm-5:50pm,"Boswell, K.S.",2024,fall
Economics (ECON) 106F - Finance Lec 1,TR,8am-9:20am,"Convery, P.D.",2024,fall
Economics (ECON) 106FB - Finance Laboratory Lec 1,F,3pm-3:50pm,"Convery, P.D.",2024,fall
Economics (ECON) 106I - Organization of Firms Lec 1,MW,2pm-3:15pm,"Meyer-Ter-Vehn, M.",2024,fall
Economics (ECON) 106I - Organization of Firms Lec 2,MW,3:30pm-4:45pm,"Meyer-Ter-Vehn, M.",2024,fall
Economics (ECON) 106IL - Organization of Firms Laboratory Lec 1,F,10am-11:15am,"Meyer-Ter-Vehn, M.",2024,fall
Economics (ECON) 106IL - Organization of Firms Laboratory Lec 2,F,11:30am-12:45pm,"Meyer-Ter-Vehn, M.",2024,fall
Economics (ECON) 111 - Theories of Development Lec 1,MW,12:30pm-1:45pm,"Osei Twumasi, O.I.",2024,fall
Economics (ECON) 121 - International Trade Theory Lec 1,TR,12:30pm-1:45pm,"Fajgelbaum, P.D.",2024,fall
Economics (ECON) 121 - International Trade Theory Lec 2,TR,2pm-3:15pm,"Fajgelbaum, P.D.",2024,fall
Economics (ECON) 133 - Intergenerational Poverty in America Lec 1,TR,11am-12:15pm,"Lleras-Muney, A.",2024,fall
Economics (ECON) 133L - Intergenerational Poverty in America Laboratory Lec 1,W,3pm-3:50pm,"Lleras-Muney, A.",2024,fall
Economics (ECON) 134 - Environmental Economics Lec 1,MW,2pm-3:15pm,"Rafey, W.M.",2024,fall
Economics (ECON) 134 - Environmental Economics Lec 2,MW,3:30pm-4:45pm,"Rafey, W.M.",2024,fall
Economics (ECON) 137 - Introduction to Urban and Regional Economics Lec 1,MW,11am-12:15pm,"Osei Twumasi, O.I.",2024,fall
Economics (ECON) 142 - Economics of Networks Lec 1,MW,11am-12:15pm,"Obara, I.",2024,fall
Economics (ECON) 144 - Economic Forecasting Lec 1,TR,12:30pm-1:45pm,"Rojas, R.R.",2024,fall
Economics (ECON) 160 - Money and Banking Lec 1,MW,8am-9:15am,"Convery, P.D.",2024,fall
Education (EDUC) 10 - Introduction to Educational Issues and Scholarship Lec 1,T,8am-9:50am,"Guillen, L.I.",2024,fall
"Education (EDUC) 11 - Education, Equality, and Future of American Society: Problems, Prospects, and Policies Lec 1",W,9:30am-10:45am,"Santibanez, L.",2024,fall
Education (EDUC) 35 - Introduction to Inquiry and Research in Education Lec 1,M,8am-9:50am,"Eagan, K.",2024,fall
"Education (EDUC) 107A - Race, Class, and Education Inequality in U.S. Lec 1",R,2pm-3:50pm,"Howard, T.",2024,fall
Education (EDUC) 109A - Globalization and Learning Lec 1,T,11am-1:50pm,"Desjardins, R.",2024,fall
"Education (EDUC) 113 - Democracy, Justice, and Education Lec 1",F,11am-1:50pm,"Quartz, K.",2024,fall
Education (EDUC) 150 - Quantitative Research in Education: Claims and Evidence Lec 1,MW,10am-11:50am,"Hansen, M.P.",2024,fall
Education (EDUC) 151 - Quantitative Research in Education: Measurement and Assessment Lec 1,T,12pm-1:50pm,"Jeon, M.",2024,fall
Education (EDUC) M177 - Creating Safe and Welcoming Schools Lec 1,W,8am-9:50am,"Astor, R.A.",2024,fall
Education (EDUC) 200B - Survey Research Methods in Education Lec 1,MW,12pm-1:50pm,Martinez-Fernandez,2024,fall
Electrical and Computer Engineering (EC ENGR) 2 - Physics for Electrical Engineers Lec 1,TR,4pm-5:50pm,"Sokolich, M.",2024,fall
Electrical and Computer Engineering (EC ENGR) 3 - Introduction to Electrical Engineering Lec 1,R,8am-9:50am,"Briggs, D.M.",2024,fall
Electrical and Computer Engineering (EC ENGR) 10H - Circuit Theory I (Honors) Lec 1,MW,10am-11:50am,"Darabi, H.",2024,fall
Electrical and Computer Engineering (EC ENGR) 11L - Circuits Laboratory I Lec 1,M,12pm-12:50pm,"Darabi, H.",2024,fall
Electrical and Computer Engineering (EC ENGR) M16 - Logic Design of Digital Systems Lec 1,MW,12pm-1:50pm,"Potkonjak, M.",2024,fall
Electrical and Computer Engineering (EC ENGR) 100 - Electrical and Electronic Circuits Lec 1,TR,12pm-1:50pm,"Gupta, P.",2024,fall
Electrical and Computer Engineering (EC ENGR) 101A - Engineering Electromagnetics Lec 1,MW,6pm-7:50pm,"Emaminejad, S.",2024,fall
Electrical and Computer Engineering (EC ENGR) 102 - Systems and Signals Lec 1,TR,2pm-3:50pm,"Kao, J.C.",2024,fall
Electrical and Computer Engineering (EC ENGR) 112 - Introduction to Power Systems Lec 1,"Castaneda, J.J.",Select Electrical and Computer Engineering (EC ENGR) 112 - Introduction to Power Systems Lec 80,"Castaneda, J.J.",2024,fall
Electrical and Computer Engineering (EC ENGR) 112 - Introduction to Power Systems Lec 80,"Castaneda, J.J.",Select Electrical and Computer Engineering (EC ENGR) 112 - Introduction to Power Systems Lec 1,"Castaneda, J.J.",2024,fall
Electrical and Computer Engineering (EC ENGR) 113 - Digital Signal Processing Lec 1,MW,2pm-3:50pm,"Cabric, D.",2024,fall
Electrical and Computer Engineering (EC ENGR) 113 - Digital Signal Processing Lec 80,No instructors,Select Electrical and Computer Engineering (EC ENGR) 113 - Digital Signal Processing Lec 1,MW,2024,fall
Electrical and Computer Engineering (EC ENGR) 113DA - Digital Signal Processing Design Lec 1,T,2pm-3:50pm,"Briggs, D.M.",2024,fall
Electrical and Computer Engineering (EC ENGR) 114 - Speech and Image Processing Systems Design Lec 1,MW,4pm-5:50pm,"Lorenzelli, F.",2024,fall
Electrical and Computer Engineering (EC ENGR) 115A - Analog Electronic Circuits I Lec 1,MW,10am-11:50am,"Chang, M.F.",2024,fall
Electrical and Computer Engineering (EC ENGR) M116C - Computer Systems Architecture Lec 1,TR,12pm-1:50pm,"Sehatbakhsh, N.",2024,fall
Electrical and Computer Engineering (EC ENGR) M117 - Computer System Security Lec 1,TR,4pm-5:50pm,"Tian, Y.",2024,fall
Electrical and Computer Engineering (EC ENGR) M119 - Fundamentals of Embedded Networked Systems Lec 1,MW,2pm-3:50pm,"Chen, X.",2024,fall
Electrical and Computer Engineering (EC ENGR) 121B - Principles of Semiconductor Device Design Lec 1,TR,10am-11:50am,"Ahmadi, E.",2024,fall
Electrical and Computer Engineering (EC ENGR) 131A - Probability and Statistics Lec 1,MW,2pm-3:50pm,"Roychowdhury, V.P.",2024,fall
Electrical and Computer Engineering (EC ENGR) 131A - Probability and Statistics Lec 80,No instructors,Select Electrical and Computer Engineering (EC ENGR) 131A - Probability and Statistics Lec 1,MW,2024,fall
Electrical and Computer Engineering (EC ENGR) 132B - Data Communications and Telecommunication Networks Lec 80,No instructors,Select Electrical and Computer Engineering (EC ENGR) 132B - Data Communications and Telecommunication Networks Lec 80,No instructors,2024,fall
Electrical and Computer Engineering (EC ENGR) 133A - Applied Numerical Computing Lec 1,MW,4pm-5:50pm,"Vandenberghe, L.",2024,fall
Electrical and Computer Engineering (EC ENGR) 141 - Principles of Feedback Control Lec 1,MW,8am-9:50am,"Tabuada, P.",2024,fall
Electrical and Computer Engineering (EC ENGR) M148 - Introduction to Data Science Lec 1,TR,4pm-5:50pm,"Sun, Y.",2024,fall
Engineering (ENGR) 1IT - Introduction to Engineering Design: Internet of Things Lec 1,M,9am-9:50am,"Darabi, H.",2024,fall
Engineering (ENGR) 2 - Technology and Society Lec 1,T,6pm-7:50pm,"Zipperstein, S.E.",2024,fall
Engineering (ENGR) 87 - Introduction to Engineering Disciplines Lec 1,TR,2pm-3:50pm,"Hormozi, S.J.",2024,fall
Engineering (ENGR) 110 - Introduction to Technology Management and Economics for Engineers Lec 1,MW,12pm-1:50pm,"Bulu-Taciroglu, M.",2024,fall
Engineering (ENGR) 111 - Introduction to Finance and Marketing for Engineers Lec 1,TR,10am-11:50am,"Bulu-Taciroglu, M.",2024,fall
Engineering (ENGR) 183EW - Engineering and Society Lec 1,MW,8am-9:50am,"Weltman, G.",2024,fall
English (ENGL) 4W - Critical Reading and Writing Lec 1,MW,10am-11:50am,"Meagher, M.R.",2024,fall
English (ENGL) 4W - Critical Reading and Writing Lec 2,MW,10am-11:50am,"Cardon, K.N.",2024,fall
English (ENGL) 4W - Critical Reading and Writing Lec 3,TR,10am-11:50am,"Birke, R.M.",2024,fall
English (ENGL) 4W - Critical Reading and Writing Lec 4,TR,10am-11:50am,"Chapman, B.",2024,fall
English (ENGL) 4W - Critical Reading and Writing Lec 5,MW,12pm-1:50pm,"Martinez, L.",2024,fall
English (ENGL) 4W - Critical Reading and Writing Lec 6,MW,12pm-1:50pm,"Van Niel, J.P.",2024,fall
English (ENGL) 4W - Critical Reading and Writing Lec 7,TR,12pm-1:50pm,"Forest, S.C.",2024,fall
English (ENGL) 4W - Critical Reading and Writing Lec 8,TR,2pm-3:50pm,"Wu, S.",2024,fall
English (ENGL) 4W - Critical Reading and Writing Lec 9,MW,4pm-5:50pm,"Kuruhara, R.",2024,fall
English (ENGL) 4W - Critical Reading and Writing Lec 10,MW,2pm-3:50pm,"Sharrah, R.K.",2024,fall
English (ENGL) 4W - Critical Reading and Writing Lec 12,TR,4pm-5:50pm,"Martinez, S.M.",2024,fall
English (ENGL) 10A - Literatures in English to 1700 Lec 1,TR,12:30pm-1:45pm,"Fisher, M.N.",2024,fall
"English (ENGL) 10B - Literatures in English, 1700 to 1850 Lec 1",MW,12:30pm-1:45pm,"Cohen, M.C.",2024,fall
English (ENGL) 20W - Introduction to Creative Writing Lec 2,TR,2pm-3:50pm,"Kiebach, Z.A.",2024,fall
English (ENGL) 80 - Major American Authors Lec 1,TR,2pm-3:15pm,"Dimuro, J.A.",2024,fall
English (ENGL) 85 - American Novel Lec 1,TR,12:30pm-1:45pm,"Mott, C.M.",2024,fall
English (ENGL) M101D - Studies in Queer Literatures and Cultures: Queer American Short Story Lec 1,MW,10am-11:50am,"Looby, C.J.",2024,fall
"English (ENGL) M103 - Studies in Disability Literatures: Beauty and Deformity: Aesthetics and Literature of Disability, from Shakespeare to Present Lec 1",TR,2pm-3:50pm,"Deutsch, H.E.",2024,fall
English (ENGL) M104A - Early African American Literature Lec 1,TR,11am-12:15pm,"Yarborough, R.A.",2024,fall
English (ENGL) M104E - Topics in African American Literature and Culture Lec 1,TR,10am-11:50am,"Mullen, H.R.",2024,fall
"English (ENGL) M105C - Chicana/Chicano Literature since el Movimiento, 1970s to Present Lec 1",MW,12:30pm-1:45pm,"Perez-Torres, R.",2024,fall
English (ENGL) M107A - Studies in Women's Writing: Women of Color Writing Self Lec 1,TR,12pm-1:50pm,"Lee, S.K.",2024,fall
English (ENGL) 110A - Writing in English Major: Analytical Lec 1,MW,2pm-3:50pm,"Stephan, M.",2024,fall
English (ENGL) 110V - Variable Topics in Professional Writing: First-Person Writing for Aspiring Professional Writers Lec 1,TR,2pm-3:50pm,"Allmendinger, B.",2024,fall
English (ENGL) 115D - Detective Fiction Lec 1,TR,4pm-5:50pm,"Allmendinger, B.",2024,fall
English (ENGL) 118A - Interdisciplinary Studies in Literature: Castaways and Containers: Modernity at Sea Lec 1,TR,12pm-1:50pm,"Turner, C.",2024,fall
English (ENGL) 119 - Literary Cities: Literary Dublin: In the Heart of the Hibernian Metropolis Lec 2,MW,2pm-3:50pm,"Jaurretche, C.M.",2024,fall
English (ENGL) 119 - Literary Cities: Literary London: Tales of Two Cities Lec 1,TR,11am-12:15pm,"Makdisi, S.",2024,fall
English (ENGL) 120 - History of Aesthetics and Critical Theory Lec 1,MW,10am-11:50am,"Huehls, M.A.",2024,fall
"English (ENGL) 127 - Performance, Media, and Cultural Theory: Critical Approaches to Race and Ethnicity in Performance Lec 1",TR,2pm-3:50pm,"McMillan, U.G.",2024,fall
English (ENGL) 135 - Literature of Americas: Poetry of the Americas Lec 1,MW,2pm-3:50pm,"Foote, R.E.",2024,fall
Environment (ENVIRON) M1A - Food: Lens for Environment and Sustainability Lec 1,TR,9:30am-10:45am,"Jay, J.A.",2024,fall
Environment (ENVIRON) 140 - Foundations of Environmental Policy and Regulation Lec 1,TR,3:30pm-4:45pm,TA,2024,fall
Environment (ENVIRON) 155 - Energy and Society in Time of Climate Change: Moving toward Just Transition Lec 1,TR,9:30am-10:45am,"Pincetl, S.S.",2024,fall
Environment (ENVIRON) 166 - Leadership in Water Management Lec 1,W,5pm-7:50pm,"Gold, M.A.",2024,fall
Environment (ENVIRON) 175 - Programming with Big Environmental Datasets Lec 1,TR,2pm-3:15pm,"Barreca, A.I.",2024,fall
Environment (ENVIRON) 180A - Practicum in Environmental Science Lec 1,F,10am-12:50pm,"Garrison, N.J.",2024,fall
Environment (ENVIRON) 185A - Sustainability Talks Lec 1,W,4pm-5:50pm,"Maida, C.A.",2024,fall
Environment (ENVIRON) 188B - Special Courses in Environment: Grand Challenges Undergraduate Research Scholars Program Lec 1,W,6pm-7:50pm,"Shipe, R.F.",2024,fall
Environmental Health Sciences (ENV HLT) 101 - Fundamentals of Chemistry in Environmental Health Lec 1,TR,4pm-5:50pm,"Suffet, I.H.",2024,fall
Environmental Health Sciences (ENV HLT) C185A - Foundations of Environmental Health Sciences Lec 1,MW,10am-11:50am,"Marlier, M.E.",2024,fall
Environmental Health Sciences (ENV HLT) C200A - Foundations of Environmental Health Sciences Lec 1,MW,10am-11:50am,"Tsai, C.",2024,fall
Environmental Health Sciences (ENV HLT) 255 - Control of Airborne Contaminants in Industry Lec 1,W,5pm-7:50pm,"Tsai, C.",2024,fall
Environmental Health Sciences (ENV HLT) 256 - Biological and Health Surveillance Monitoring in Occupational/Environmental Health Lec 1,TR,2pm-3:15pm,"Que Hee, S.S.",2024,fall
Environmental Health Sciences (ENV HLT) 259B - Workplace Safety Lec 1,F,10am-11:50am,No instructors,2024,fall
Environmental Health Sciences (ENV HLT) 414A - Research Methods and Effective Communication in Environmental Health Sciencess Lec 1,M,12pm-1:50pm,"Cushing, L.J.",2024,fall
"Environmental Health Sciences (ENV HLT) M471 - Improving Worker Health: Social Movements, Policy Debates, and Public Health Lec 1",M,3pm-5:50pm,"Riley, K.",2024,fall
Epidemiology (EPIDEM) 120 - Epidemiology in Public Health Lec 1,MW,1pm-2:50pm,"Javanbakht, M.",2024,fall
Epidemiology (EPIDEM) 200A - Methods I: Basic Concepts and Study Designs Lec 1,MW,10am-11:50am,The Staff,2024,fall
Epidemiology (EPIDEM) M203 - Topics in Theoretical Epidemiology Lec 1,F,9am-11:50am,"Kuo, T.Y.",2024,fall
"Epidemiology (EPIDEM) M204 - Logic, Causation, and Probability Lec 1",MW,10am-11:50am,TA,2024,fall
Epidemiology (EPIDEM) 232 - Methods in Research of Marginalized and Hidden Populations Lec 1,W,1pm-2:50pm,"Gorbach, P.M.",2024,fall
Epidemiology (EPIDEM) 241 - Epidemiology of Obesity and Diabetes Lec 1,T,1pm-3:50pm,"Chen, L.",2024,fall
Epidemiology (EPIDEM) 242 - Cancer Epidemiology Lec 1,M,1pm-3:50pm,TA,2024,fall
Epidemiology (EPIDEM) M254 - Nutritional Epidemiology I Lec 1,R,1pm-3:50pm,"Chen, L.",2024,fall
Epidemiology (EPIDEM) 268 - Introduction to Pharmacoepidemiology Lec 1,R,9am-10:50am,"Bradbury, B.D.",2024,fall
Epidemiology (EPIDEM) M403 - Computer Management and Analysis of Health Data Using SAS Lec 1,MW,3pm-5:50pm,TA,2024,fall
Ethnomusicology (ETHNMUS) 20C - Musical Cultures of World: Asia Lec 1,TR,1pm-2:50pm,"Rees, H.M.",2024,fall
Ethnomusicology (ETHNMUS) M25 - Global Pop Lec 1,MW,9am-10:50am,"Ruskin, J.D.",2024,fall
Ethnomusicology (ETHNMUS) 46W - India through Music Lec 1,MW,11am-12:50pm,"Morcom, A.F.",2024,fall
Ethnomusicology (ETHNMUS) M50A - Jazz in American Culture: Late 19th Century through 1940s Lec 1,TR,9am-10:50am,"Bolin, M.T.",2024,fall
Ethnomusicology (ETHNMUS) 122 - Global Dynamics of K-Pop Lec 1,MW,1pm-2:50pm,The Staff,2024,fall
Ethnomusicology (ETHNMUS) M131 - Development of Latin Jazz Lec 1,MW,3pm-4:50pm,The Staff,2024,fall
Ethnomusicology (ETHNMUS) M134 - Introduction to Armenian Music Lec 1,TR,1pm-2:50pm,"Bilal, M.",2024,fall
Ethnomusicology (ETHNMUS) 135 - Indo-Persian Musical Cultures: Mapping Musical Connections Lec 1,MW,11am-12:50pm,The Staff,2024,fall
Ethnomusicology (ETHNMUS) 158 - Studies in Chinese Instrumental Music Lec 1,TR,11am-12:50pm,"Li, G.",2024,fall
